period,radius,stellar_teff,stellar_logg,stellar_rad,stellar_mag,disposition,insolation,equilibrium_temp,stellar_mass,distance
46.1842039,1.83,3950.0,4.754,0.493,15.954,CONFIRMED,1.32,273.0,0.5029407902290675,387.4252747143677
23.9800854,1.31,5854.0,4.406,1.012,12.882,CONFIRMED,41.94,649.0,0.9510077284382944,424.4561082823491
7.82502168,1.2,3950.0,4.754,0.493,15.954,CONFIRMED,14.05,494.0,0.5029407902290675,387.4252747143677
3.895936525,7.34,5557.0,4.592,0.774,15.725,CONFIRMED,241.62,1005.0,0.853699334047224,1083.3495153693275
22.36646466,2.32,5395.0,4.615,0.734,15.583,CONFIRMED,19.45,536.0,0.8094968089641609,907.0386579813448
1.625522174,9.73,5539.0,4.322,1.106,15.001,CONFIRMED,1467.41,1579.0,0.9361237748424526,1101.9571227069184
19.62034692,13.6,5710.0,4.492,0.905,15.562,CANDIDATE,40.39,643.0,0.9270863348745866,1240.702435717516
7.544039,17.47,5657.0,4.567,0.824,15.559,FALSE POSITIVE,116.46,838.0,0.9134345714754846,1107.2518340101292
9.02930689,2.57,5349.0,4.526,0.82,15.387,CONFIRMED,77.75,757.0,0.8230964451693819,910.1351497506324
10.32803571,13.28,5627.0,4.359,1.024,15.646,FALSE POSITIVE,119.31,843.0,0.8738219193489043,1417.1004177957468
143.2063047,8.9,5485.0,4.556,0.867,15.403,CONFIRMED,2.14,308.0,0.9859643590799524,1019.3403138008578
6.164876,0.79,5854.0,4.406,1.012,12.882,CONFIRMED,256.35,1021.0,0.9510077284382944,424.4561082823491
60.32494216,12.19,5485.0,4.556,0.867,15.403,CONFIRMED,6.77,411.0,0.9859643590799524,1019.3403138008578
29.1598615,1.91,5485.0,4.556,0.867,15.403,CONFIRMED,17.85,524.0,0.9859643590799524,1019.3403138008578
1.540397253,25.69,5663.0,4.53,0.915,15.974,FALSE POSITIVE,1105.68,1470.0,1.0343444998115785,1491.6298181101004
2.99025443,1.7,4667.0,4.578,0.731,15.842,FALSE POSITIVE,168.45,918.0,0.7373229893431451,761.6225916810871
1.594745374,11.3,5934.0,4.491,0.893,15.53,CONFIRMED,1329.42,1539.0,0.9005875504180708,1302.846894097778
4.783002698,2.5,5170.0,4.574,0.807,15.119,CONFIRMED,145.48,886.0,0.8903691229440787,739.6077615137623
20.50588921,3.41,4905.0,4.544,0.761,15.398,CONFIRMED,17.06,518.0,0.7389113453227235,713.8542004500357
3.340218842,2.03,3950.0,4.754,0.493,15.954,CONFIRMED,43.73,656.0,0.5029407902290675,387.4252747143677
2.507089906,30.26,5926.0,4.506,0.939,15.555,FALSE POSITIVE,730.47,1326.0,1.0307520466492464,1382.0880937601653
18.64932728,3.12,5775.0,4.405,1.053,15.386,CONFIRMED,57.13,701.0,1.0272585476521758,1361.6929452370962
4.90144976,1.7,5847.0,4.191,1.402,12.487,CONFIRMED,598.74,1262.0,1.112548745941094,489.0587578121881
9.75192101,2.76,5775.0,4.405,1.053,15.386,CONFIRMED,135.66,870.0,1.0272585476521758,1361.6929452370962
38.5576546,4.02,5775.0,4.405,1.053,15.386,CONFIRMED,21.71,550.0,1.0272585476521758,1361.6929452370962
3.525632539,11.58,5150.0,4.572,0.793,15.224,CONFIRMED,213.12,975.0,0.8557943125307491,756.8929926339397
34.84398644,7.61,5509.0,4.482,0.871,15.684,CANDIDATE,16.1,511.0,0.8391881280490139,1175.737956700132
7.748094239,5.52,5973.0,4.439,1.085,15.67,CONFIRMED,204.39,964.0,1.1794580466760851,1710.6517531522634
23.96793669,1.8,3747.0,4.728,0.524,15.414,CONFIRMED,2.77,329.0,0.5351624031104105,288.96517894764435
8.29561738,1.82,3747.0,4.728,0.524,15.414,CONFIRMED,11.39,469.0,0.5351624031104105,288.96517894764435
8.11437482,2.1,3692.0,4.753,0.517,15.877,CONFIRMED,10.55,460.0,0.5518284758020596,342.57902336392567
38.03672948,27.5,5575.0,4.521,0.932,15.472,FALSE POSITIVE,14.81,500.0,1.0511261629378317,1168.5639786646072
4.64090031,30.09,6463.0,4.5,0.826,15.27,CANDIDATE,421.08,1155.0,0.7866528418241632,1268.2217535918987
3.747838198,13.65,5514.0,4.569,0.826,13.496,FALSE POSITIVE,266.76,1031.0,0.9221108154815506,407.8123841564482
14.74914825,2.89,5847.0,4.191,1.402,12.487,CONFIRMED,137.91,874.0,1.112548745941094,489.0587578121881
21.81295996,3.38,5601.0,4.41,0.999,15.54,CONFIRMED,39.33,639.0,0.9353065973394958,1304.4981654949345
7.91936937,10.34,5690.0,4.588,0.776,15.805,FALSE POSITIVE,104.0,814.0,0.8502496538339108,1181.498278488944
1.028436523,72.77,6228.0,4.428,0.99,15.202,CANDIDATE,3400.48,1947.0,0.957399972049782,1367.9784046287182
15.37562369,11.01,4986.0,4.496,0.833,16.422,CONFIRMED,30.54,600.0,0.7927076038696679,1293.8871175219713
8.10363271,2.11,4861.0,4.574,0.732,15.289,CONFIRMED,52.82,687.0,0.7325633435635033,641.3707684394892
4.71510843,1.46,4861.0,4.574,0.732,15.289,CONFIRMED,108.84,823.0,0.7325633435635033,641.3707684394892
