toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,stellar_mass
1037.01,363260203,FALSE POSITIVE,09h49m32.44s,147.385172,-63d18m23.32s,-63.306478,-19.687,10.953,2459331.124512,1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9.0211,279.698,9158.0,4.32,1.74,2019-07-24 18:44:12,2024-09-07 10:08:02,2.306330369813032
1038.01,90544017,FALSE POSITIVE,08h33m49.11s,128.454638,-49d56m25.25s,-49.940347,-15.5,7.0,2459273.371643,3.2235985,2.159,680.0,5.51341,2064.8,1183.0274647,8.7157,280.765,8904.0,4.09,2.17,2019-07-24 18:44:12,2021-10-29 12:59:15,2.112236236858993
1039.01,461867584,ACTIVE PLANET CANDIDATE,09h58m45.25s,149.688545,-58d45m37.63s,-58.760453,-6.434,4.098,2460031.2166,4.420125,3.956,2466.0,10.541599999999999,363.6038948,1183.0274647,8.5483,2864.34,5801.93,4.33,1.23975,2019-07-24 18:44:12,2023-05-05 16:02:01,1.198094998525787
104.01,231670397,CONFIRMED,21h19m47.93s,319.949697,-58d08m56.16s,-58.148933,10.552,-10.658,2460150.608677,4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638,316.678,6036.0,3.93359,2.2186699,2018-09-05 18:49:20,2023-10-16 16:02:02,1.5402754884413266
1040.01,310483807,FALSE POSITIVE,08h34m27.41s,128.61421,-61d29m17.74s,-61.488262,-11.78,6.725,2458520.65674,2.55555,1.566,340.0,11.5901,3520.68,2145.0,8.3854,732.432,10037.0,4.33,6.04,2019-07-24 18:44:12,2021-10-29 12:59:15,28.437859126893102
1041.01,385624852,FALSE POSITIVE,09h13m36.54s,138.402252,-55d11m52.48s,-55.19791,-14.189,14.261,2459261.801216,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,8.0981,305.034,9081.0,3.83,3.05,2019-07-24 18:44:12,2021-10-29 12:59:15,2.2930984457437518
1042.01,360286627,CANDIDATE,09h27m54.05s,141.975215,-61d19m48.14s,-61.33004,-11.595,3.139,2459281.337956,0.758082,1.8184632,583.93181,10.1273702,216218.1005011,5499.7476332,9.718,792.633,9917.0,3.75,3.5086601,2019-07-24 18:44:12,2025-07-09 16:00:02,2.5240945411477482
1043.01,90448944,FALSE POSITIVE,08h33m12.56s,128.302319,-52d42m51.13s,-52.714202,-9.496,14.659,2459985.770425,1.4415577,2.349,507.0,3.61078,16861.8,3174.0,9.5719,208.055,6902.0,4.25,1.52,2019-07-24 18:44:12,2024-09-09 10:08:01,1.4979944252899557
1044.01,463402815,CANDIDATE,10h15m14.65s,153.811023,-58d45m59.01s,-58.766393,-14.441,6.214,2460037.194672,1.0085089,1.642,3051.0,10.541599999999999,363.6038948,1183.0274647,10.0031,494.689,5215.2,4.33,1.23975,2019-07-24 18:44:12,2023-05-11 16:02:02,1.198094998525787
1045.01,54044474,FALSE POSITIVE,10h39m33.05s,159.887704,-32d30m42.77s,-32.51188,-34.609,14.667,2459301.544126,3.7039994,4.277,7590.0,17.57,3546.13,2149.0,9.6306,300.696,7013.8,4.21,1.9,2019-07-24 18:44:12,2021-12-07 16:02:02,2.1346674268111974
1046.01,309787037,FALSE POSITIVE,08h25m40.67s,126.419468,-60d54m27.05s,-60.907514,-1.536,-9.979,2460177.867195,1.3042553,1.706,914.0,9.36472,26944.7,3569.0,10.0119,301.298,6762.0,4.11,1.75,2019-07-24 18:44:12,2024-09-19 10:08:01,1.4384644015626014
1047.01,370745311,FALSE POSITIVE,09h38m19.57s,144.581535,-67d30m18.35s,-67.505097,-35.412,24.084,2458544.79061,0.62627,0.666,1880.0,5.72162,3235.57,2101.0,10.2355,134.926,5622.0,4.5,0.93,2019-07-24 18:44:12,2021-10-29 12:59:15,0.99721526610011
1048.01,384549882,FALSE POSITIVE,09h06m06.65s,136.527702,-54d54m14.12s,-54.903922,-10.863,7.063,2458518.376,0.30412,0.748,1330.0,10.417,280833.0,6413.0,8.802,440.426,11892.0,4.14,2.52,2019-07-24 18:44:12,2021-10-29 12:59:15,3.196127551228985
1049.01,16288184,CONFIRMED,16h55m04.52s,253.768848,-28d42m38.1s,-28.710584,-8.568,-5.562,2459363.821393,2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,11.0657,314.995,6599.0,4.21017,1.2714601,2019-07-15 19:20:04,2022-03-30 16:02:02,0.956309551156493
105.01,144065872,CONFIRMED,22h29m49.88s,337.457824,-48d00m11.16s,-48.003099,91.976,-6.861,2459084.58501,2.1846669,2.86528,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995,137.544,5630.0,4.37759,1.23824,2018-09-05 18:49:20,2025-03-25 16:00:01,1.3335910736811518
1050.01,66818296,CONFIRMED,15h59m50.94s,239.962248,-28d03m42.46s,-28.061794,-8.1,-9.639,2459355.54563,3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,11.0261,405.908,6650.0,4.1639,1.57,2019-07-15 19:20:05,2022-10-05 10:10:01,1.3107574236890553
1051.01,259863352,FALSE ALARM,02h41m27.83s,40.365939,-71d27m45.9s,-71.462749,168.17,-56.04,2458657.736625,21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,7.1278,53.19149,5625.0,4.438,1.56486,2019-08-16 20:20:45,2024-09-17 10:08:02,2.4477891212579226
